time_s	lane_id	generated_tokens	phase
116.000	qwen36-27b-baseline	694	decode
116.000	qwen36-35b-a3b-dynamic-strix	5983	decode
116.000	mistral-small-4-119b-ud-q4km	695	decode
116.000	gemma4-26b-a4b-q4km-gemma-bin	4891	decode
116.000	gemma4-e2b-q4km-gemma-bin	8192	done
118.000	qwen36-27b-dflash-pflash	1761	decode
118.000	qwen36-27b-baseline	718	decode
118.000	qwen36-35b-a3b-dynamic-strix	6102	decode
118.000	mistral-small-4-119b-ud-q4km	719	decode
118.000	gemma4-26b-a4b-q4km-gemma-bin	4987	decode
118.000	gemma4-e2b-q4km-gemma-bin	8192	done
120.000	qwen36-27b-dflash-pflash	1795	decode
120.000	qwen36-27b-baseline	742	decode
120.000	qwen36-35b-a3b-dynamic-strix	6221	decode
120.000	mistral-small-4-119b-ud-q4km	743	decode
120.000	gemma4-26b-a4b-q4km-gemma-bin	5083	decode
120.000	gemma4-e2b-q4km-gemma-bin	8192	done
122.000	qwen36-27b-dflash-pflash	1829	decode
122.000	qwen36-27b-baseline	766	decode
122.000	qwen36-35b-a3b-dynamic-strix	6340	decode
122.000	mistral-small-4-119b-ud-q4km	766	decode
122.000	gemma4-26b-a4b-q4km-gemma-bin	5179	decode
122.000	gemma4-e2b-q4km-gemma-bin	8192	done
124.000	qwen36-27b-dflash-pflash	1863	decode
124.000	qwen36-27b-baseline	790	decode
124.000	qwen36-35b-a3b-dynamic-strix	6458	decode
124.000	mistral-small-4-119b-ud-q4km	790	decode
124.000	gemma4-26b-a4b-q4km-gemma-bin	5274	decode
124.000	gemma4-e2b-q4km-gemma-bin	8192	done
126.000	qwen36-27b-dflash-pflash	1897	decode
126.000	qwen36-27b-baseline	814	decode
126.000	qwen36-35b-a3b-dynamic-strix	6577	decode
126.000	mistral-small-4-119b-ud-q4km	814	decode
126.000	gemma4-26b-a4b-q4km-gemma-bin	5370	decode
126.000	gemma4-e2b-q4km-gemma-bin	8192	done
128.000	qwen36-27b-dflash-pflash	1930	decode
128.000	qwen36-27b-baseline	839	decode
128.000	qwen36-35b-a3b-dynamic-strix	6696	decode
128.000	mistral-small-4-119b-ud-q4km	838	decode
128.000	gemma4-26b-a4b-q4km-gemma-bin	5466	decode
128.000	gemma4-e2b-q4km-gemma-bin	8192	done
130.000	qwen36-27b-dflash-pflash	1964	decode
130.000	qwen36-27b-baseline	863	decode
130.000	qwen36-35b-a3b-dynamic-strix	6815	decode
130.000	mistral-small-4-119b-ud-q4km	862	decode
130.000	gemma4-26b-a4b-q4km-gemma-bin	5561	decode
130.000	gemma4-e2b-q4km-gemma-bin	8192	done
132.000	qwen36-27b-dflash-pflash	1998	decode
132.000	qwen36-27b-baseline	887	decode
132.000	qwen36-35b-a3b-dynamic-strix	6934	decode
132.000	mistral-small-4-119b-ud-q4km	886	decode
132.000	gemma4-26b-a4b-q4km-gemma-bin	5657	decode
132.000	gemma4-e2b-q4km-gemma-bin	8192	done
134.000	qwen36-27b-dflash-pflash	2032	decode
134.000	qwen36-27b-baseline	911	decode
134.000	qwen36-35b-a3b-dynamic-strix	7053	decode
134.000	mistral-small-4-119b-ud-q4km	909	decode
134.000	gemma4-26b-a4b-q4km-gemma-bin	5753	decode
134.000	gemma4-e2b-q4km-gemma-bin	8192	done
136.000	qwen36-27b-dflash-pflash	2066	decode
136.000	qwen36-27b-baseline	935	decode
136.000	qwen36-35b-a3b-dynamic-strix	7172	decode
