ts_iso	epoch	prompt_tokens_total	prompt_seconds_total	tokens_predicted_total	tokens_predicted_seconds_total	requests_processing	requests_deferred
2026-05-12T22:15:59-0400	1778638559	33364	116.365	2048	168.881	1	0
2026-05-12T22:16:01-0400	1778638561	33364	116.365	2048	168.881	1	0
2026-05-12T22:16:03-0400	1778638563	33364	116.365	2048	168.881	1	0
2026-05-12T22:16:05-0400	1778638565	33364	116.365	2048	168.881	1	0
2026-05-12T22:16:07-0400	1778638567	33364	116.365	2048	168.881	1	0
2026-05-12T22:16:09-0400	1778638569	33364	116.365	2048	168.881	1	0
2026-05-12T22:16:11-0400	1778638571	33364	116.365	2048	168.881	1	0
2026-05-12T22:16:13-0400	1778638573	33364	116.365	2048	168.881	1	0
2026-05-12T22:16:15-0400	1778638575	33364	116.365	2048	168.881	1	0
2026-05-12T22:16:17-0400	1778638577	33364	116.365	2048	168.881	1	0
2026-05-12T22:16:19-0400	1778638579	33364	116.365	2048	168.881	1	0
2026-05-12T22:16:22-0400	1778638582	33364	116.365	2048	168.881	1	0
2026-05-12T22:16:24-0400	1778638584	33364	116.365	2048	168.881	1	0
2026-05-12T22:16:26-0400	1778638586	33364	116.365	2048	168.881	1	0
2026-05-12T22:16:28-0400	1778638588	33364	116.365	2048	168.881	1	0
2026-05-12T22:16:30-0400	1778638590	33364	116.365	2048	168.881	1	0
2026-05-12T22:16:32-0400	1778638592	33364	116.365	2048	168.881	1	0
2026-05-12T22:16:34-0400	1778638594	33364	116.365	2048	168.881	1	0
2026-05-12T22:16:36-0400	1778638596	33364	116.365	2048	168.881	1	0
2026-05-12T22:16:38-0400	1778638598	33364	116.365	2048	168.881	1	0
2026-05-12T22:16:40-0400	1778638600	33364	116.365	2048	168.881	1	0
2026-05-12T22:16:42-0400	1778638602	33364	116.365	2048	168.881	1	0
2026-05-12T22:16:44-0400	1778638604	33364	116.365	2048	168.881	1	0
2026-05-12T22:16:46-0400	1778638606	33364	116.365	2048	168.881	1	0
2026-05-12T22:16:48-0400	1778638608	33364	116.365	2048	168.881	1	0
2026-05-12T22:16:50-0400	1778638610	33364	116.365	2048	168.881	1	0
2026-05-12T22:16:53-0400	1778638613	33364	116.365	2048	168.881	1	0
2026-05-12T22:16:55-0400	1778638615	33364	116.365	2048	168.881	1	0
2026-05-12T22:16:57-0400	1778638617	33364	116.365	2048	168.881	1	0
2026-05-12T22:16:59-0400	1778638619	33364	116.365	2048	168.881	1	0
2026-05-12T22:17:01-0400	1778638621	33364	116.365	2048	168.881	1	0
2026-05-12T22:17:03-0400	1778638623	33364	116.365	2048	168.881	1	0
2026-05-12T22:17:05-0400	1778638625	33364	116.365	2048	168.881	1	0
2026-05-12T22:17:07-0400	1778638627	33364	116.365	2048	168.881	1	0
2026-05-12T22:17:09-0400	1778638629	33364	116.365	2048	168.881	1	0
2026-05-12T22:17:11-0400	1778638631	33364	116.365	2048	168.881	1	0
2026-05-12T22:17:13-0400	1778638633	33364	116.365	2048	168.881	1	0
2026-05-12T22:17:15-0400	1778638635	33364	116.365	2048	168.881	1	0
2026-05-12T22:17:17-0400	1778638637	33364	116.365	2048	168.881	1	0
2026-05-12T22:17:19-0400	1778638639	33364	116.365	2048	168.881	1	0
2026-05-12T22:17:21-0400	1778638641	33364	116.365	2048	168.881	1	0
2026-05-12T22:17:24-0400	1778638644	33364	116.365	2048	168.881	1	0
2026-05-12T22:17:26-0400	1778638646	33364	116.365	2048	168.881	1	0
2026-05-12T22:17:28-0400	1778638648	33364	116.365	2048	168.881	1	0
2026-05-12T22:17:30-0400	1778638650	33364	116.365	2048	168.881	1	0
2026-05-12T22:17:32-0400	1778638652	33364	116.365	2048	168.881	1	0
2026-05-12T22:17:34-0400	1778638654	33364	116.365	2048	168.881	1	0
2026-05-12T22:17:36-0400	1778638656	33364	116.365	2048	168.881	1	0
2026-05-12T22:17:38-0400	1778638658	33364	116.365	2048	168.881	1	0
2026-05-12T22:17:40-0400	1778638660	33364	116.365	2048	168.881	1	0
2026-05-12T22:17:42-0400	1778638662	33364	116.365	2048	168.881	1	0
2026-05-12T22:17:44-0400	1778638664	33364	116.365	2048	168.881	1	0
2026-05-12T22:17:46-0400	1778638666	33364	116.365	2048	168.881	1	0
2026-05-12T22:17:48-0400	1778638668	33364	116.365	2048	168.881	1	0
